seed,irrev_sit_count,ablated_sit_count,delta_sit_count,irrev_mean_Ct,ablated_mean_Ct,delta_mean_Ct,irrev_normal_ticks,ablated_normal_ticks,delta_normal_ticks,irrev_alpha_final,ablated_alpha_final,delta_alpha_final,irrev_alpha_slope,ablated_alpha_slope,delta_alpha_slope
46,0.0,0.0,0.0,0.5661339869281046,0.6251928104575164,-0.05905882352941183,60.0,56.0,4.0,0.9098,0.9097,0.00010000000000010001,0.34343333333333337,0.3433333333333334,9.999999999998899e-05
47,0.0,0.0,0.0,0.569390522875817,0.6278555555555555,-0.05846503267973846,59.0,56.0,3.0,0.8665,0.8835,-0.016999999999999904,0.2926466666666666,0.30964666666666685,-0.017000000000000237
48,0.0,0.0,0.0,0.5661339869281046,0.6251928104575164,-0.05905882352941183,60.0,56.0,4.0,0.9012,0.9011,9.999999999998899e-05,0.33666000000000007,0.3365600000000001,9.999999999998899e-05
49,0.0,0.0,0.0,0.5669202614379085,0.6263872549019607,-0.059466993464052154,60.0,56.0,4.0,0.898,0.8979,9.999999999998899e-05,0.3241466666666666,0.3240466666666666,9.999999999998899e-05
50,0.0,0.0,0.0,0.5672222222222222,0.6266892156862746,-0.059466993464052376,60.0,56.0,4.0,0.906,0.9059,9.999999999998899e-05,0.3349766666666666,0.3348766666666665,0.00010000000000010001
51,0.0,0.0,0.0,0.5584366013071895,0.6283035947712418,-0.06986699346405223,59.0,56.0,3.0,0.8599,0.8599,0.0,0.28604666666666656,0.28604666666666656,0.0
52,0.0,0.0,0.0,0.5624045751633986,0.6300705882352939,-0.06766601307189535,60.0,57.0,3.0,0.551,0.551,0.0,0.07777999999999996,0.07777999999999996,0.0
53,0.0,0.0,0.0,0.5606820261437908,0.6294454248366013,-0.06876339869281045,59.0,56.0,3.0,0.8816,0.8816,0.0,0.31523333333333337,0.31523333333333337,0.0
54,0.0,0.0,0.0,0.5591728758169936,0.6289323529411762,-0.06975947712418262,59.0,56.0,3.0,0.8669,0.8669,0.0,0.3023600000000001,0.3023600000000001,0.0
55,0.0,0.0,0.0,0.569390522875817,0.6278555555555555,-0.05846503267973846,59.0,56.0,3.0,0.8665,0.8835,-0.016999999999999904,0.2926466666666666,0.30964666666666685,-0.017000000000000237
56,0.0,0.0,0.0,0.5697941176470588,0.6279836601307188,-0.05818954248366004,59.0,56.0,3.0,0.8708,0.8815,-0.010699999999999932,0.3050700000000002,0.3157700000000001,-0.010699999999999932
57,0.0,0.0,0.0,0.5659565359477126,0.6261385620915032,-0.060182026143790646,60.0,56.0,4.0,0.9072,0.9071,9.999999999998899e-05,0.3320566666666668,0.33195666666666657,0.00010000000000021103
